;Loading1;Loading2;Loading3;Loading4;Loading5;ids;type;label
MTPAP.rna_b;0.105336260606386;-0.215258565712189;-0.506714583968234;-0.17481516027712;0.0424689000121621;MTPAP;rna_b;MTPAP
R3HDM4.rna_b;0.710055615007264;-0.0480560773903766;-0.0037315561816464;0.0121204339320005;0.240824556645254;R3HDM4;rna_b;R3HDM4
RNF170.rna_b;-0.188151690517825;0.0246567836679901;-0.0814543987565877;-0.042480810355427;0.190992703171318;RNF170;rna_b;RNF170
TMEM70.rna_b;0.554799447638488;-0.521964371140654;-0.0167647799696757;-0.209418811883542;-0.147088603947799;TMEM70;rna_b;TMEM70
RPLP2.rna_b;0.811395471377164;-0.283911868787204;0.0641525152175721;0.0714280177583419;-0.125587869409858;RPLP2;rna_b;RPLP2
LRRC58.rna_b;-0.93063081831419;0.142646570785425;0.0447372187918435;-0.0432255900035536;0.0282768666458829;LRRC58;rna_b;LRRC58
ADGRA2.rna_b;-0.341493656328159;0.560276131936129;-0.0433660641238419;-0.213516339647235;0.325085386727719;ADGRA2;rna_b;ADGRA2
PRKX.rna_b;-0.707341028296285;-0.174087208131242;0.00640775916862486;-0.220497610774294;-0.255141484531539;PRKX;rna_b;PRKX
GAS6.rna_b;0.751371326354398;0.0782235946142728;0.188429047654001;-0.129754568678226;-0.0146376520335041;GAS6;rna_b;GAS6
KIAA1217.rna_b;-0.437868530375627;0.442775217960579;0.221361595717298;-0.00621183723299176;-0.184487228874488;KIAA1217;rna_b;KIAA1217
FAM149B1.rna_b;0.234079513381621;-0.305961947995737;0.301479751520469;0.35565992398518;-0.185562447803899;FAM149B1;rna_b;FAM149B1
CHCHD6.rna_b;0.488654358232138;-0.242698622000008;0.0142778453654676;-0.0657532213600127;-0.0755001713125981;CHCHD6;rna_b;CHCHD6
KANSL1L.rna_b;-0.485377619596881;0.310723299965562;-0.069944719849651;0.185702904438732;-0.147470722947058;KANSL1L;rna_b;KANSL1L
MRPL52.rna_b;0.775998908592262;-0.301790534055818;-0.182117666447073;-0.0218918163036205;0.0941036121740085;MRPL52;rna_b;MRPL52
THAP1.rna_b;-0.226719903588552;-0.313463789497419;0.238102767315668;0.0631111144390961;-0.124393731355747;THAP1;rna_b;THAP1
PLXNA1.rna_b;-0.645811978577165;0.166054002602711;0.258525742805249;0.219136063964776;0.120444066284684;PLXNA1;rna_b;PLXNA1
FGD1.rna_b;0.108374979990969;-0.0897060888355717;0.480421783873882;0.133575842460934;0.341670899992664;FGD1;rna_b;FGD1
XG.rna_b;0.075917170214022;-0.188637487599451;-0.306661420080715;-0.420249462487351;0.0294944166927359;XG;rna_b;XG
MARCHF5.rna_b;-0.767929126183009;-0.209723954544127;0.109463034180118;-0.0391354620454647;-0.135341965350969;MARCHF5;rna_b;MARCHF5
FRA10AC1.rna_b;0.432682242352732;-0.232348345561591;0.222360683002137;0.33485919667507;-0.374939478690955;FRA10AC1;rna_b;FRA10AC1
CAMK2G.rna_b;-0.836943193806982;0.0279828173130377;0.00371889678372992;0.1151157868333;-0.0645807739320534;CAMK2G;rna_b;CAMK2G
