protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000000315	ENSECAP00000004851	970	ACAD9	0.294851280360314	0.0470248451535475	0.438598856982796	up	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000006049	997	COX5B	0.542272046624499	0.0255789036893131	0.335210826248899	up	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000014727	999	NDUFS4	0.699052560563122	0.0302728782860562	0.362028961729282	up	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000015863	999	NDUFB9	0.594853732775082	0.00628419158686168	0.177453600524237	up	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000023106	990	MT-CO2	0.679606923193915	0.00926990205585401	0.209411501680816	up	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000034536	999	NDUFA10	0.511160613416766	0.0305252075657067	0.362028961729282	up	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000039657	659	PRKACB	-0.684931558540725	0.0196013370537133	0.307909744976211	down	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000051079	689	NUBPL	-0.713567677057059	0.0234166627382025	0.318001303265782	down	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000000315	ENSECAP00000054014	994	COX5A	0.737983639610993	0.00554916046619142	0.173192218760606	up	NDUFS7	0.721557248041388	0.01352283184066	0.254572675603536	up
ENSECAP00000001546	ENSECAP00000020960	991	SUOX	-0.379522598514315	0.0140154211176371	0.255727529931041	down	TST	-0.358438383340667	0.0488195802741213	0.438598856982796	down
ENSECAP00000001546	ENSECAP00000036870	675	COQ9	-0.46682242521864	0.00601951112075227	0.173511087045274	down	TST	-0.358438383340667	0.0488195802741213	0.438598856982796	down
ENSECAP00000001546	ENSECAP00000037158	916	MPST	-0.301597953386669	0.0330971745295726	0.377435086462241	down	TST	-0.358438383340667	0.0488195802741213	0.438598856982796	down
ENSECAP00000001546	ENSECAP00000041499	910	LDHB	0.43890763188076	0.0106065429338585	0.224631427134933	up	TST	-0.358438383340667	0.0488195802741213	0.438598856982796	down
ENSECAP00000001546	ENSECAP00000042060	910	LDHA	0.339379710220891	0.0443757031487243	0.431390032249074	up	TST	-0.358438383340667	0.0488195802741213	0.438598856982796	down
ENSECAP00000001815	ENSECAP00000020559	819	PDK2	-0.716075940968174	0.0233262211423729	0.318001303265782	down	DLD	0.301274455482893	0.0230249211503513	0.318001303265782	up
ENSECAP00000001815	ENSECAP00000022869	988	GCSH	0.556532286978619	0.00296493869002544	0.133488187929412	up	DLD	0.301274455482893	0.0230249211503513	0.318001303265782	up
ENSECAP00000001815	ENSECAP00000028589	999	PDHX	0.262244603134076	0.0120780393962789	0.241657203861112	up	DLD	0.301274455482893	0.0230249211503513	0.318001303265782	up
ENSECAP00000001815	ENSECAP00000034536	795	NDUFA10	0.511160613416766	0.0305252075657067	0.362028961729282	up	DLD	0.301274455482893	0.0230249211503513	0.318001303265782	up
