protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000000315	ENSECAP00000000436	999	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000315	ENSECAP00000010311	791	COX6A1	1.71261963235762	4.02458853602515e-05	0.00530351333747315	up	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000315	ENSECAP00000014727	999	NDUFS4	0.747717798708694	0.00138564534142169	0.0400214861352546	up	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000315	ENSECAP00000019918	999	NDUFA6	0.659127529119086	0.000248931555995594	0.0158935297249303	up	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000315	ENSECAP00000023106	990	MT-CO2	0.711784958822932	0.00010243822390614	0.0080994489035121	up	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000315	ENSECAP00000034536	999	NDUFA10	0.521977890880431	0.000510841495173919	0.0242343205310507	up	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000315	ENSECAP00000043244	885	MAMDC4	-0.5562816487306	0.000863624753968144	0.0320080924439443	down	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000315	ENSECAP00000054014	994	COX5A	0.646328602566523	0.000573257397422802	0.0256559725789979	up	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up
ENSECAP00000000436	ENSECAP00000000315	999	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up
ENSECAP00000000436	ENSECAP00000010311	811	COX6A1	1.71261963235762	4.02458853602515e-05	0.00530351333747315	up	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up
ENSECAP00000000436	ENSECAP00000014727	999	NDUFS4	0.747717798708694	0.00138564534142169	0.0400214861352546	up	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up
ENSECAP00000000436	ENSECAP00000019918	999	NDUFA6	0.659127529119086	0.000248931555995594	0.0158935297249303	up	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up
ENSECAP00000000436	ENSECAP00000023106	973	MT-CO2	0.711784958822932	0.00010243822390614	0.0080994489035121	up	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up
ENSECAP00000000436	ENSECAP00000034536	999	NDUFA10	0.521977890880431	0.000510841495173919	0.0242343205310507	up	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up
ENSECAP00000000436	ENSECAP00000054014	998	COX5A	0.646328602566523	0.000573257397422802	0.0256559725789979	up	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up
ENSECAP00000003528	ENSECAP00000022362	757	COL3A1	1.39533088305759	0.00124393565427805	0.0378284022044557	up	SERPINH1	1.70716975709273	8.88191332610865e-05	0.00763809958200147	up
ENSECAP00000005189	ENSECAP00000023635	951	PFKM	-0.522498373900856	9.96104841063131e-05	0.0080994489035121	down	TKT	0.496819059959455	0.000840603595736201	0.0316493925251789	up
ENSECAP00000005189	ENSECAP00000028595	601	PFKP	0.735254020194569	0.000312025832497209	0.0185031318670845	up	TKT	0.496819059959455	0.000840603595736201	0.0316493925251789	up
ENSECAP00000005189	ENSECAP00000036395	965	ALDOA	-0.602574344683532	0.000110712222292955	0.00847127068641577	down	TKT	0.496819059959455	0.000840603595736201	0.0316493925251789	up
ENSECAP00000007371	ENSECAP00000012495	641	NPPA	1.76327289100013	0.000638777200752446	0.0275487185488146	up	RYR2	-0.776442536640163	0.00123261799119623	0.0378284022044557	down
ENSECAP00000007371	ENSECAP00000015825	673	FKBP3	-0.428456868820874	0.000331085128340121	0.0191544859615309	down	RYR2	-0.776442536640163	0.00123261799119623	0.0378284022044557	down
ENSECAP00000010228	ENSECAP00000017959	706	HSPB1	0.549241457758672	0.00144481924399952	0.0407989434138912	up	CRYAB	0.695497741883738	2.71119112823115e-05	0.00459353239726021	up
ENSECAP00000010311	ENSECAP00000000315	791	NDUFS7	0.685857918928406	0.000951213388456519	0.0332734598516948	up	COX6A1	1.71261963235762	4.02458853602515e-05	0.00530351333747315	up
ENSECAP00000010311	ENSECAP00000000436	811	NDUFB5	0.461685586636138	0.00177607255228618	0.0462949900442068	up	COX6A1	1.71261963235762	4.02458853602515e-05	0.00530351333747315	up
ENSECAP00000010311	ENSECAP00000014727	720	NDUFS4	0.747717798708694	0.00138564534142169	0.0400214861352546	up	COX6A1	1.71261963235762	4.02458853602515e-05	0.00530351333747315	up
ENSECAP00000010311	ENSECAP00000019918	845	NDUFA6	0.659127529119086	0.000248931555995594	0.0158935297249303	up	COX6A1	1.71261963235762	4.02458853602515e-05	0.00530351333747315	up
ENSECAP00000010311	ENSECAP00000023106	984	MT-CO2	0.711784958822932	0.00010243822390614	0.0080994489035121	up	COX6A1	1.71261963235762	4.02458853602515e-05	0.00530351333747315	up
