protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000002606	ENSECAP00000020068	807	PYGB	0.552622297623508	1.09068620534425e-05	0.00287456408786283	up	PHKG2	1.32133489758271	0.000116564294344832	0.0140501590854607	up
ENSECAP00000002606	ENSECAP00000045746	990	PHKA1	0.566025755985649	8.76926603933499e-06	0.00287456408786283	up	PHKG2	1.32133489758271	0.000116564294344832	0.0140501590854607	up
ENSECAP00000003188	ENSECAP00000013771	653	CSRP3	0.662896222917244	0.000504278302602195	0.0398716044590802	up	XIRP1	0.992774603110805	3.25629443982743e-07	0.000257464347042355	up
ENSECAP00000003188	ENSECAP00000047435	644	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up	XIRP1	0.992774603110805	3.25629443982743e-07	0.000257464347042355	up
ENSECAP00000010228	ENSECAP00000017959	706	HSPB1	0.651047768016543	2.03280016250115e-05	0.00401816832121061	up	CRYAB	0.551760410873882	6.01473741951279e-05	0.00891684822442771	up
ENSECAP00000010228	ENSECAP00000047435	602	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up	CRYAB	0.551760410873882	6.01473741951279e-05	0.00891684822442771	up
ENSECAP00000011648	ENSECAP00000041379	822	SORBS2	0.624506719914011	0.000161083067742403	0.0168275472582195	up	VCL	0.534854571475378	6.49931716456577e-05	0.00906845900844118	up
ENSECAP00000011648	ENSECAP00000047435	922	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up	VCL	0.534854571475378	6.49931716456577e-05	0.00906845900844118	up
ENSECAP00000012977	ENSECAP00000013427	746	KLHL41	0.883653868160947	9.2148065671427e-06	0.00287456408786283	up	MYPN	0.738824860617909	1.07589123068655e-05	0.00287456408786283	up
ENSECAP00000012977	ENSECAP00000047435	602	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up	MYPN	0.738824860617909	1.07589123068655e-05	0.00287456408786283	up
ENSECAP00000013427	ENSECAP00000012977	746	MYPN	0.738824860617909	1.07589123068655e-05	0.00287456408786283	up	KLHL41	0.883653868160947	9.2148065671427e-06	0.00287456408786283	up
ENSECAP00000013771	ENSECAP00000003188	653	XIRP1	0.992774603110805	3.25629443982743e-07	0.000257464347042355	up	CSRP3	0.662896222917244	0.000504278302602195	0.0398716044590802	up
ENSECAP00000017959	ENSECAP00000010228	706	CRYAB	0.551760410873882	6.01473741951279e-05	0.00891684822442771	up	HSPB1	0.651047768016543	2.03280016250115e-05	0.00401816832121061	up
ENSECAP00000020068	ENSECAP00000002606	807	PHKG2	1.32133489758271	0.000116564294344832	0.0140501590854607	up	PYGB	0.552622297623508	1.09068620534425e-05	0.00287456408786283	up
ENSECAP00000020068	ENSECAP00000045746	810	PHKA1	0.566025755985649	8.76926603933499e-06	0.00287456408786283	up	PYGB	0.552622297623508	1.09068620534425e-05	0.00287456408786283	up
ENSECAP00000021737	ENSECAP00000054536	992	RPS2	0.470995936208155	0.000749735030936392	0.048064094415706	up	RPS26	1.08149716114161	0.000772493443791368	0.0482198539124506	up
ENSECAP00000028595	ENSECAP00000036395	824	ALDOA	-0.476120117693448	0.000234726631724708	0.0206211692759633	down	PFKP	1.01607970344612	9.89948397841776e-08	0.000117407879984035	up
ENSECAP00000036395	ENSECAP00000028595	824	PFKP	1.01607970344612	9.89948397841776e-08	0.000117407879984035	up	ALDOA	-0.476120117693448	0.000234726631724708	0.0206211692759633	down
ENSECAP00000041379	ENSECAP00000011648	822	VCL	0.534854571475378	6.49931716456577e-05	0.00906845900844118	up	SORBS2	0.624506719914011	0.000161083067742403	0.0168275472582195	up
ENSECAP00000045746	ENSECAP00000002606	990	PHKG2	1.32133489758271	0.000116564294344832	0.0140501590854607	up	PHKA1	0.566025755985649	8.76926603933499e-06	0.00287456408786283	up
ENSECAP00000045746	ENSECAP00000020068	810	PYGB	0.552622297623508	1.09068620534425e-05	0.00287456408786283	up	PHKA1	0.566025755985649	8.76926603933499e-06	0.00287456408786283	up
ENSECAP00000047435	ENSECAP00000003188	644	XIRP1	0.992774603110805	3.25629443982743e-07	0.000257464347042355	up	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up
ENSECAP00000047435	ENSECAP00000010228	602	CRYAB	0.551760410873882	6.01473741951279e-05	0.00891684822442771	up	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up
ENSECAP00000047435	ENSECAP00000011648	922	VCL	0.534854571475378	6.49931716456577e-05	0.00906845900844118	up	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up
ENSECAP00000047435	ENSECAP00000012977	602	MYPN	0.738824860617909	1.07589123068655e-05	0.00287456408786283	up	FLNC	0.848739056554781	3.70306760181704e-05	0.00627405453679286	up
ENSECAP00000054536	ENSECAP00000021737	992	RPS26	1.08149716114161	0.000772493443791368	0.0482198539124506	up	RPS2	0.470995936208155	0.000749735030936392	0.048064094415706	up
