Genes	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1A_RA2_1_24819.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1B_RD3_1_24856.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1C_RF5_1_24884.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2A_G1_1_24820.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2B_RD4_1_24857.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2C_RF6_1_24885.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3A_RA4_1_24822.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3B_RD5_1_24858.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3C_G1_1_24886.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4A_RA5_1_24823.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4B_RD6_1_24859.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4C_RF8_1_24888.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5A_RA6_1_24824.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5B_RD7_1_24860.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5C_RF9_1_24889.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6A_RA7_1_24825.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6B_RD8_1_24861.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6C_RF10_1_24890.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7A_G1_1_24826.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7B_G1_1_24862.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7C_RF11_1_24891.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8A_RA9_1_24828.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8B_RD10_1_24866.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8C_RG1_1_24892.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9A_RA10_1_24829.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9B_RD11_1_24867.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9C_RG2_1_24893.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10A_RA11_1_24830.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10A_RA11_1_24832.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10B_RE1_1_24868.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10C_RG3_1_24894.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11A_RB1_1_24833.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11B_RE2_1_24869.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11C_RG4_1_24895.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12A_RB2_1_24834.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12B_RE3_1_24870.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12C_RG5_1_24896.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13A_RB3_1_24835.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13B_RE4_1_24871.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13C_G1_1_24897.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14A_RB4_1_24837.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14B_RE5_1_24872.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14C_RG7_1_24899.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15A_RB5_1_24838.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15B_RE6_1_24873.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15C_RG8_1_24900.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16A_RB6_1_24839.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16B_RE7_1_24874.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16C_RG9_1_24901.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17A_G1_1_24840.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17B_G1_1_24875.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17C_RG10_1_24902.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18A_RB8_1_24842.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18B_RE9_1_24877.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18C_RG11_1_24903.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19A_RB9_1_24843.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19B_RE10_1_24878.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19C_RH1_1_24904.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20A_RB10_1_24844.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20B_RE11_1_24879.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20C_RH2_1_24905.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22A_RB11_1_24845.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22B_RF1_1_24880.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22C_RH3_1_24906.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23A_RC1_1_24846.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23B_RF2_1_24881.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23C_RH4_1_24907.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24A_RC2_1_24847.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24B_RF3_1_24882.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24C_RH5_1_24908.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25A_RC3_1_24848.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25B_RF4_1_24883.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25C_G1_1_24909.d
A1BG	158775	201619	136509	265891	167362	116557	214996	198878	142946	343837	269339	236557	258077	96104.1	131037	226174	181090	171756	235449	230491	136015	367186	129265	178505	178492	132619	136178		340746	188205	110299	213062	114078	197593	274149	255025	144964	889385	284809	163371	186760	186011	287030	315532	167896	166572	168083	239096	87094	169558	165230	267014	241088	179316	189980	418162	124216	127335	469471	98918.9	181871	568290	285874	208555	359906	292398	301507	242497	182608	201675	276603	136956	324989
A2M	161809	61981.3	66220.5	229761	107143	88032.7	232359	99090.5	100646	175821	64959.2	63060.8	159893	50248.8	55155.6	147958	138795	67027	191170	95840.1	91242.8	228983	49127	71976.3	202967	57617.8	67777.8		329361	61536.3	75941.3	200366	47239.5	93252.2	245043	47450.1	46041	785581	236433	96463.6	187301	116428	128997	166609	90288.9	105719	124932	155201	46482.2	141913	45192.3	68910.1	193449	86987.9	73139.2	273065	64826.9	62029.7	306342	61862.5	50871.5	202986	107946	59775.1	241750	73910	75602.8	230514	66908.7	78805.1	216334	65876.6	347403
AACS	2220.4	2293.26	1816.25	1335.77	1522.91	959.563	1773.22	2181.29	1238.79		1736.69	1114.57	1488.31	1587.34	1081.17		2592.23	890.374	1537.12	1298.66	1205.53	2328.89	1830.63	1563.09	2230.89	1563.81	2259.49			1065.88	755.66	1954.7	2152.42	1189.4		1724.36	739.067		1357.05	1493.53	1708.56	1551.75	1632.84	1589.16	980.004	1842.98	2277.22	1285.1	1514.75	1731.33	1541.65	1223.18		1263.56	2234.44		1503.22	1620.33		906.96	1415.84		1295.6	1750.47	2200.17	1161.89	1662.53		1381.01	1500.78	2949.99	1972.7	
AAK1		1817.7	1009.22		2177.89			1246.28	1180.58		834.245	811.871		1163.5	839.759		915.974	519.685		1267.65	509.474		1721.74	313.338		966.634	741.765			1239.43		3599.89	1595.36	542.522		1263.59	789.445	2967.12	1133.37	533.504		1039.09		1433.09	1100.38	421.412	1644.04	2028.58	936.386	1063.12	1310.14	1675.93		1417.05	946.572		1165.17	1162.88		1979.48			1293.63	1492.76	1542.22	1259.85	1174.02		1195.11	1119.53		1035.28	
AAMDC	43043	23669.4	7727.33	22682	20835.2	10161.7	35413.4	23108.9	5112.03	23207.5	13833.2	14120.6	29146.8	30318.1	22869.3	44084.8	13289	7184.79	28090.5	16799.1	14903.9	41443.6	19876.9	14225.1	29105	14511.1	25523		38171.6	16247.6	8900.83	20321.7	8939.43	16103.5	8581.27	20160.1	7085.54	41230	30727.7	25418.8	17877.1	20985.3	22594.6	22569.5	33626.6	9696.91	32948.7	14344.5	15369.3	28371.6	38205.4	11732.8	37577.7	27205.8	27113.5	10272.5	20718.7	10645.5	17853.5	17859.5	35363.1	27695.3	8762.03	9783.67	31160.6	13464.4	16790.8	25192.1	11599.6	19213.5	41626.7	12490.4	38357.1
AAMP	656.728	768.248	1389.47	861.262		1166.46		819.049	748.643		336.235	529.52		892.778	685.916	548.455	265.691	1149.15		1043.75			847.332	507.858	703.794	705.277				818.669	667					495.349	430.808	1098.95	744.743	198.394		897.396			1107.33	961.546		842.807			1318.67	1506.28					927.842	1138.88		630.573	2061.38		943.385	859.422	735.111	1082.52			972.807	769.992			
AARS1	5004.46	4671.32	5206.81	4756.99	4422.4	5571.65	5199.02	4012.66	4811.93	3380.35	4943.44	4577.19	4691.26	5416.8	5568.66	3757.39	4605.96	5618	5246.73	6471.36	5003.84	4756.62	4199.01	4724.08	5283.34	3585.96	5701.64		3732.06	4925.81	5237.58	6266.47	4667.19	5135.51		4068.66	4147.75	7836.69	3864.04	5146.13	5622.04	4880.57	4727.74	3633.58	4433.63	6153.78	4728.56	4110.51	4692.5	3843.02	4263.02	5767.98	5590.1	4747.27	5170.47		4019.9	5118.11	3919.9	4463.11	3522.96		4569.5	4542.52	4361.55	4525.44	4782.2	1736.49	3967.25	4990.36	4380.86	5432.1	
AARSD1	14771.9	16284.5	23925.2	14103.2	7880.2	5346.36	15519.4	19659.1	19315.4		13767	19598.3	7706.65	14015.2	16369.4	7563.82	13704.3	14592	12241.3	21894.7	10162.1	9130.59	22713.6	10819.8	17592.9	14860.8	15114.8		8167.5	17871.8	11642.3	4665.62	7647.31	6694.24		14763.8	14632.6	39031	12166.8	12721.4	15371.4	21092.6	6987.35	9497.05	16897	14080.6	10825.2	19514.2	11142.6	6798.06	14900.6	16298.2	4205.79	23118.8	15935.5		18913.7	16607.4	16023.7	21364.4	10900.1		24930.8	15463.8	13103.5	15478.4	11233.6	6997.08	23475.4	22223.7	15723.3	17215.6	4219.84
AASDHPPT	3198.43	2746.31	3617.42	3330.54	4694.69	1005.57	2496.65	3843.02	2918.16		5987.46	4504.73		4516.98	5896.55		5780.14	2713.54	2572.35	3988.35	3519.54	1605.27	6991.36	1481.18	2675.2	5827.92	5474.95		2298.79	3647.75	1795.68	2078.73	5696.95	1885.86		5033.57	3806.63		5260.98	2191.24	2831.5	5107.19	1623.86	1307.7	5608.13	3014.68	3777.16	6519.31	4275.78	3447.99	6301.68	4332.56	1836.44	6721.73	5028.53		4447.06	5212.01		8416.78	2345.68		5257.31	4716.22	4776.35	4658.72	4898.08	2327.16	7463.84	5356.06		5781.51	
AASS	21455.5	21650.5	24278.8	24649.2	14553.4	27326.7	40851.7	20045.3	21233.4	28693.7	27489.6	19882.5	25456.7	25514	18609.5	25407.8	27795.6	24756	32127.5	18838.4	24360.7	22943.7	21810	28064.8	20319.3	19388.5	25028.6		27116.3	23969.9	34141.2	29195.1	26249.8	18195.7	10935	18402	26922.8	20671.4	24427.9	25713.6	36303.2	22113	20836.5	20629.2	21834.9	26453.1	33125.1	21376.3	28401.8	26473.3	24720.7	21753.3	25672.5	20048.2	17785.1		23587.1	18390.9	15553.2	25756.3	21302.2		24288.6	13904.2	27489.4	27738.4	22132.1	37820.6	26421.2	20882.2	18078.1	31721.5	
ABAT				2794.21	1916.97	1256.66			550.351		3109.93	927.682							1163.56	2552.9	1065.92	1202.26	1543.26				671.677		2742.48			2439.78	1226	799.289					1184.1				702.854	1396.68	1239.22				452.337		993.753			2114.03	1055.42										3583.74	885.859	973.535						
ABCA8		716.974	1166.8	1588.93	1449.33	962.852		1940.85	1571.54		2971.52	1292.21		1452.34	1283.83		2286.93	1493.27		1714.31	1372.65		870.347	1470.28	1666.93	1540.95	636.751			1217.3	1265.12		1465.72	903.905		1093.29	716.134	810.81	1120.17	1149.82	1761.1	1620.08	2268.95		1077.44	1322.61	964.895	863	1168.97	1060.89		1394.67		2169.87	1152.67		949.94	364.052		1333.96			1274.8	1092.03		1378.97	986.024		1834.28	1163.43		2166.28	
ABCB10		1164.23				867.691			2733.8			1604.33			325.295						1482.24		1422.04	1061.65			428.138			614.887	686.065		659.005	446.561			626.189			708.481	567.735	1388	537.212			918.817		1087.24	979.276			338.624			452.855		2163.87			968.481			865.041		1482.54		551.78		2082.92	1154.61			
