protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000001546	ENSECAP00000020960	991	SUOX	-0.58891968118885	0.013492976894732	0.823120882545592	down	TST	-0.648319039109619	0.00145110472132046	0.305391584532442	down
ENSECAP00000001546	ENSECAP00000041499	910	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up	TST	-0.648319039109619	0.00145110472132046	0.305391584532442	down
ENSECAP00000001546	ENSECAP00000042060	910	LDHA	0.577756143439805	0.0208066710880288	0.890458137282401	up	TST	-0.648319039109619	0.00145110472132046	0.305391584532442	down
ENSECAP00000002606	ENSECAP00000004911	924	PHKG1	0.59173105370815	0.0250020643297434	0.890458137282401	up	PHKG2	1.75300766196088	0.00894456904364842	0.761799792898169	up
ENSECAP00000003188	ENSECAP00000047435	644	FLNC	0.905494251653341	0.000510879790881433	0.226724139698506	up	XIRP1	1.02202524301381	5.05005587406138e-06	0.00584543967422605	up
ENSECAP00000003528	ENSECAP00000017260	617	COL6A2	0.693298795575682	0.0285323516021741	0.943108216773423	up	SERPINH1	0.824224799063314	0.00466763483489901	0.582450184415213	up
ENSECAP00000004911	ENSECAP00000002606	924	PHKG2	1.75300766196088	0.00894456904364842	0.761799792898169	up	PHKG1	0.59173105370815	0.0250020643297434	0.890458137282401	up
ENSECAP00000006539	ENSECAP00000041499	936	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up	ME3	0.48761632966329	0.0213308230130545	0.890458137282401	up
ENSECAP00000006539	ENSECAP00000042060	936	LDHA	0.577756143439805	0.0208066710880288	0.890458137282401	up	ME3	0.48761632966329	0.0213308230130545	0.890458137282401	up
ENSECAP00000007132	ENSECAP00000011648	615	VCL	0.531480431347056	0.0158399938923327	0.873085377636911	up	ACTR2	0.580516623997763	0.0238367794410723	0.890458137282401	up
ENSECAP00000007132	ENSECAP00000023992	711	CFL2	0.529697478656152	0.00536478405059137	0.591403575100906	up	ACTR2	0.580516623997763	0.0238367794410723	0.890458137282401	up
ENSECAP00000007132	ENSECAP00000035786	709	ABI2	-2.21691428500577	0.0120243476957618	0.823120882545592	down	ACTR2	0.580516623997763	0.0238367794410723	0.890458137282401	up
ENSECAP00000007589	ENSECAP00000021885	957	CKMT2	0.46048257164148	0.0442579445507103	0.998942487659274	up	GAMT	0.963905134100179	0.0207188694521774	0.890458137282401	up
ENSECAP00000008082	ENSECAP00000009823	830	SOD2	-0.500948169971593	0.0409533761547307	0.998942487659274	down	MRPL17	1.73493685387333	0.0203724392045252	0.890458137282401	up
ENSECAP00000009823	ENSECAP00000008082	830	MRPL17	1.73493685387333	0.0203724392045252	0.890458137282401	up	SOD2	-0.500948169971593	0.0409533761547307	0.998942487659274	down
ENSECAP00000010228	ENSECAP00000010457	719	HSPB2	0.801643392309124	0.0138668312826255	0.823120882545592	up	CRYAB	0.634608473216449	0.0059309317726462	0.624095775167088	up
ENSECAP00000010228	ENSECAP00000017959	706	HSPB1	0.951047226118064	0.000724361773959709	0.226724139698506	up	CRYAB	0.634608473216449	0.0059309317726462	0.624095775167088	up
ENSECAP00000010228	ENSECAP00000047435	602	FLNC	0.905494251653341	0.000510879790881433	0.226724139698506	up	CRYAB	0.634608473216449	0.0059309317726462	0.624095775167088	up
ENSECAP00000010457	ENSECAP00000010228	719	CRYAB	0.634608473216449	0.0059309317726462	0.624095775167088	up	HSPB2	0.801643392309124	0.0138668312826255	0.823120882545592	up
ENSECAP00000011648	ENSECAP00000007132	615	ACTR2	0.580516623997763	0.0238367794410723	0.890458137282401	up	VCL	0.531480431347056	0.0158399938923327	0.873085377636911	up
ENSECAP00000011648	ENSECAP00000023992	683	CFL2	0.529697478656152	0.00536478405059137	0.591403575100906	up	VCL	0.531480431347056	0.0158399938923327	0.873085377636911	up
ENSECAP00000011648	ENSECAP00000047435	922	FLNC	0.905494251653341	0.000510879790881433	0.226724139698506	up	VCL	0.531480431347056	0.0158399938923327	0.873085377636911	up
ENSECAP00000013340	ENSECAP00000013867	991	TKFC	-0.648122683350856	0.00839677198762653	0.761799792898169	down	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up
ENSECAP00000013340	ENSECAP00000028595	901	PFKP	1.06649858631505	2.81696661091482e-06	0.00584543967422605	up	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up
ENSECAP00000013340	ENSECAP00000041499	620	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up
ENSECAP00000013340	ENSECAP00000041567	851	PKM	0.332357749045638	0.0414321255641125	0.998942487659274	up	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up
ENSECAP00000013340	ENSECAP00000042060	679	LDHA	0.577756143439805	0.0208066710880288	0.890458137282401	up	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up
ENSECAP00000013752	ENSECAP00000029404	800	VWF	1.71848619512057	0.0405166341715112	0.998942487659274	up	VTN	1.15609208481388	0.0469677460289507	0.998942487659274	up
ENSECAP00000013867	ENSECAP00000013340	991	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up	TKFC	-0.648122683350856	0.00839677198762653	0.761799792898169	down
ENSECAP00000017260	ENSECAP00000003528	617	SERPINH1	0.824224799063314	0.00466763483489901	0.582450184415213	up	COL6A2	0.693298795575682	0.0285323516021741	0.943108216773423	up
ENSECAP00000017260	ENSECAP00000051752	877	COL6A3	0.725578395190432	0.0154401609645738	0.871804210560691	up	COL6A2	0.693298795575682	0.0285323516021741	0.943108216773423	up
ENSECAP00000017959	ENSECAP00000010228	706	CRYAB	0.634608473216449	0.0059309317726462	0.624095775167088	up	HSPB1	0.951047226118064	0.000724361773959709	0.226724139698506	up
ENSECAP00000020709	ENSECAP00000042665	999	GYS1	0.377226722034257	0.0314068438766546	0.969424580992738	up	GYG1	0.762994514025342	0.00987213554511666	0.761799792898169	up
ENSECAP00000020960	ENSECAP00000001546	991	TST	-0.648319039109619	0.00145110472132046	0.305391584532442	down	SUOX	-0.58891968118885	0.013492976894732	0.823120882545592	down
ENSECAP00000020960	ENSECAP00000022665	735	DHRS11	-0.441686433108215	0.0335852616871763	0.982665463395507	down	SUOX	-0.58891968118885	0.013492976894732	0.823120882545592	down
ENSECAP00000021885	ENSECAP00000007589	957	GAMT	0.963905134100179	0.0207188694521774	0.890458137282401	up	CKMT2	0.46048257164148	0.0442579445507103	0.998942487659274	up
ENSECAP00000022665	ENSECAP00000020960	735	SUOX	-0.58891968118885	0.013492976894732	0.823120882545592	down	DHRS11	-0.441686433108215	0.0335852616871763	0.982665463395507	down
ENSECAP00000023992	ENSECAP00000007132	711	ACTR2	0.580516623997763	0.0238367794410723	0.890458137282401	up	CFL2	0.529697478656152	0.00536478405059137	0.591403575100906	up
ENSECAP00000023992	ENSECAP00000011648	683	VCL	0.531480431347056	0.0158399938923327	0.873085377636911	up	CFL2	0.529697478656152	0.00536478405059137	0.591403575100906	up
ENSECAP00000028595	ENSECAP00000013340	901	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up	PFKP	1.06649858631505	2.81696661091482e-06	0.00584543967422605	up
ENSECAP00000028595	ENSECAP00000041567	862	PKM	0.332357749045638	0.0414321255641125	0.998942487659274	up	PFKP	1.06649858631505	2.81696661091482e-06	0.00584543967422605	up
ENSECAP00000028595	ENSECAP00000042060	719	LDHA	0.577756143439805	0.0208066710880288	0.890458137282401	up	PFKP	1.06649858631505	2.81696661091482e-06	0.00584543967422605	up
ENSECAP00000029404	ENSECAP00000013752	800	VTN	1.15609208481388	0.0469677460289507	0.998942487659274	up	VWF	1.71848619512057	0.0405166341715112	0.998942487659274	up
ENSECAP00000035786	ENSECAP00000007132	709	ACTR2	0.580516623997763	0.0238367794410723	0.890458137282401	up	ABI2	-2.21691428500577	0.0120243476957618	0.823120882545592	down
ENSECAP00000041499	ENSECAP00000001546	910	TST	-0.648319039109619	0.00145110472132046	0.305391584532442	down	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up
ENSECAP00000041499	ENSECAP00000006539	936	ME3	0.48761632966329	0.0213308230130545	0.890458137282401	up	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up
ENSECAP00000041499	ENSECAP00000013340	620	TPI1	0.623569455160045	0.00329762308802388	0.525600470666381	up	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up
ENSECAP00000041499	ENSECAP00000041567	684	PKM	0.332357749045638	0.0414321255641125	0.998942487659274	up	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up
ENSECAP00000041499	ENSECAP00000042060	743	LDHA	0.577756143439805	0.0208066710880288	0.890458137282401	up	LDHB	0.559903960998398	0.00961847535392667	0.761799792898169	up
