protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000000426	ENSECAP00000008961	689	GATC	-2.56639255965828	0.00526249230542838	0.213731047141521	down	COX7A2L	1.48205787964497	0.0259454403715044	0.343221111200187	up
ENSECAP00000000426	ENSECAP00000012407	688	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down	COX7A2L	1.48205787964497	0.0259454403715044	0.343221111200187	up
ENSECAP00000000426	ENSECAP00000018120	629	NDUFB3	-1.92461868771974	0.0270284815423541	0.349100633107771	down	COX7A2L	1.48205787964497	0.0259454403715044	0.343221111200187	up
ENSECAP00000000457	ENSECAP00000013513	753	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down	OXSM	-2.69772179661539	0.000214147246573969	0.0550834306465266	down
ENSECAP00000000457	ENSECAP00000016512	789	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down	OXSM	-2.69772179661539	0.000214147246573969	0.0550834306465266	down
ENSECAP00000000530	ENSECAP00000010496	930	PLCB3	-2.54902936549256	0.0416195136957024	0.39268460338586	down	GNAI2	-0.989487171102445	0.0123951053824611	0.286973859439574	down
ENSECAP00000000530	ENSECAP00000018741	944	PLCB1	-1.47275448930109	0.0417280399278279	0.39268460338586	down	GNAI2	-0.989487171102445	0.0123951053824611	0.286973859439574	down
ENSECAP00000001546	ENSECAP00000020960	991	SUOX	-0.864735072533325	0.0118947060567288	0.286973859439574	down	TST	-0.687654558444065	0.0160530488113094	0.30026395497781	down
ENSECAP00000001546	ENSECAP00000037158	916	MPST	1.14893274173682	0.0151270010929461	0.30026395497781	up	TST	-0.687654558444065	0.0160530488113094	0.30026395497781	down
ENSECAP00000001546	ENSECAP00000042060	910	LDHA	0.86972595259205	0.0159862937304276	0.30026395497781	up	TST	-0.687654558444065	0.0160530488113094	0.30026395497781	down
ENSECAP00000001940	ENSECAP00000008051	872	TIMM10	0.849403824875267	0.04822478341867	0.404644485011402	up	TIMM50	-1.5208552009857	0.0275821141221697	0.352776763496259	down
ENSECAP00000002169	ENSECAP00000010286	748	BCKDHA	-1.39450847628705	0.0384747377285246	0.379017097198019	down	GGACT	3.21083779251455	0.0179706544966795	0.308304263820287	up
ENSECAP00000002532	ENSECAP00000005144	997	PSMB4	1.02258773321363	0.0071011978956632	0.231539058147328	up	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up
ENSECAP00000002532	ENSECAP00000007717	996	PSMA4	0.745080071236984	0.0469932428547578	0.404405277656634	up	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up
ENSECAP00000002532	ENSECAP00000012452	999	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up
ENSECAP00000002532	ENSECAP00000013937	980	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up
ENSECAP00000002532	ENSECAP00000020680	994	USP14	0.801433441030756	0.0167317711413121	0.30026395497781	up	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up
ENSECAP00000002532	ENSECAP00000028518	614	RBX1	-2.07801715483139	0.0407309282492058	0.389636772301287	down	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up
ENSECAP00000002532	ENSECAP00000050033	680	CUL3	-3.45019492019909	0.0261071735302379	0.343398333650572	down	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up
ENSECAP00000002587	ENSECAP00000010187	884	RPS20	-2.1767359934074	0.0183783967201726	0.308304263820287	down	MRPS31	-2.06367611255383	0.0427476712317033	0.394552494350357	down
ENSECAP00000002587	ENSECAP00000013879	827	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up	MRPS31	-2.06367611255383	0.0427476712317033	0.394552494350357	down
ENSECAP00000002587	ENSECAP00000021824	737	RPS14	-1.06384354602563	0.0479487321917721	0.404644485011402	down	MRPS31	-2.06367611255383	0.0427476712317033	0.394552494350357	down
ENSECAP00000002587	ENSECAP00000022904	601	EIF5B	-3.08034135003436	0.000759620645462824	0.0837391330593542	down	MRPS31	-2.06367611255383	0.0427476712317033	0.394552494350357	down
ENSECAP00000002587	ENSECAP00000047197	897	MRPS36	-1.31245520697832	0.0368401716608879	0.377902875596469	down	MRPS31	-2.06367611255383	0.0427476712317033	0.394552494350357	down
ENSECAP00000002593	ENSECAP00000026083	831	YWHAZ	-0.673748221251826	0.0219173465082494	0.340056845517412	down	MAPT	-2.60202473998541	0.00170843819950207	0.123594825995228	down
ENSECAP00000003073	ENSECAP00000021693	799	SRL	-0.873710576882345	0.023727579156948	0.341176060548662	down	HSPB3	0.634395411953943	0.0147109458705581	0.30026395497781	up
ENSECAP00000003374	ENSECAP00000014717	810	ERP44	-3.15912353077691	0.0163617373635543	0.30026395497781	down	CANX	-3.75822143373495	0.00395024481308907	0.186628913108188	down
ENSECAP00000003374	ENSECAP00000019710	666	FLOT1	-2.13670027267458	0.0370557031362412	0.377902875596469	down	CANX	-3.75822143373495	0.00395024481308907	0.186628913108188	down
ENSECAP00000003443	ENSECAP00000025301	989	SNX5	-1.92810472466665	0.0158987192270485	0.30026395497781	down	VPS35	-0.800163175739872	0.00938329898155439	0.264906550515834	down
ENSECAP00000003443	ENSECAP00000028447	983	SNX2	-4.15512898033177	5.34815894919624e-07	0.000619049398369465	down	VPS35	-0.800163175739872	0.00938329898155439	0.264906550515834	down
ENSECAP00000003443	ENSECAP00000043037	971	SNX12	-2.82852938507017	0.00832818573181907	0.257063332922149	down	VPS35	-0.800163175739872	0.00938329898155439	0.264906550515834	down
ENSECAP00000004767	ENSECAP00000004827	892	RPS10	-3.12855227937145	0.000355915339741324	0.0674066619965587	down	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
ENSECAP00000004767	ENSECAP00000007656	887	RPS3A	-1.15592534105766	0.0375605440803809	0.379017097198019	down	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
ENSECAP00000004767	ENSECAP00000009630	680	RPL13	1.28822955009462	0.00346954828037892	0.178488983757271	up	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
ENSECAP00000004767	ENSECAP00000010187	998	RPS20	-2.1767359934074	0.0183783967201726	0.308304263820287	down	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
ENSECAP00000004767	ENSECAP00000010598	970	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
ENSECAP00000004767	ENSECAP00000013879	992	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
ENSECAP00000004767	ENSECAP00000015947	993	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
ENSECAP00000004767	ENSECAP00000018437	891	RPS25	-2.05944432128337	0.0490008365416389	0.405731024596725	down	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up
