protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000006416	ENSECAP00000030153	645	TIMM44	-2.24086309871947	0.0153838937355204	0.838740924454741	down	MIPEP	-1.61555654759751	0.0398366196679299	0.851138099128814	down
ENSECAP00000007179	ENSECAP00000007582	622	YWHAE	-0.419524302532334	0.0158144805166643	0.838740924454741	down	GDI2	0.521890317935311	0.00775818514036171	0.838740924454741	up
ENSECAP00000007179	ENSECAP00000028356	861	RAB10	-0.986700056647109	0.0330481940246515	0.851138099128814	down	GDI2	0.521890317935311	0.00775818514036171	0.838740924454741	up
ENSECAP00000007582	ENSECAP00000007179	622	GDI2	0.521890317935311	0.00775818514036171	0.838740924454741	up	YWHAE	-0.419524302532334	0.0158144805166643	0.838740924454741	down
ENSECAP00000007841	ENSECAP00000031627	781	CD44	1.01770031375555	0.0161054540579801	0.838740924454741	up	THY1	1.47811889289608	0.0347962254246597	0.851138099128814	up
ENSECAP00000008397	ENSECAP00000051799	649	FASN	-1.50554673730414	0.0102062886979295	0.838740924454741	down	HSD17B12	-2.42832905009346	0.00262261165215423	0.838740924454741	down
ENSECAP00000008458	ENSECAP00000009155	614	ADSS2	1.14617390347175	0.0376811689154588	0.851138099128814	up	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down
ENSECAP00000008458	ENSECAP00000013685	833	SAMM50	-0.905728423836621	0.0109930772713881	0.838740924454741	down	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down
ENSECAP00000008458	ENSECAP00000018388	854	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down
ENSECAP00000008458	ENSECAP00000035011	951	ATP5F1C	-0.625093710912665	0.0158785346958736	0.838740924454741	down	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down
ENSECAP00000008458	ENSECAP00000049007	766	KARS1	-0.984874748253677	0.0121787238882767	0.838740924454741	down	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down
ENSECAP00000008698	ENSECAP00000015770	999	YJEFN3	-0.730253667705597	0.0442957605495626	0.851138099128814	down	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down
ENSECAP00000008698	ENSECAP00000018388	678	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down
ENSECAP00000008698	ENSECAP00000019918	999	NDUFA6	-0.885621759218301	0.0110894770217912	0.838740924454741	down	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down
ENSECAP00000008698	ENSECAP00000035011	775	ATP5F1C	-0.625093710912665	0.0158785346958736	0.838740924454741	down	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down
ENSECAP00000008698	ENSECAP00000051799	866	FASN	-1.50554673730414	0.0102062886979295	0.838740924454741	down	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down
ENSECAP00000008788	ENSECAP00000017019	901	ISYNA1	-1.273608197073	0.0221283612433114	0.851138099128814	down	INPP4B	1.41393365286409	0.0049927946154744	0.838740924454741	up
ENSECAP00000008788	ENSECAP00000022225	912	INPP1	-2.19727853761832	0.00417607477433547	0.838740924454741	down	INPP4B	1.41393365286409	0.0049927946154744	0.838740924454741	up
ENSECAP00000009155	ENSECAP00000008458	614	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down	ADSS2	1.14617390347175	0.0376811689154588	0.851138099128814	up
ENSECAP00000009155	ENSECAP00000018388	638	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down	ADSS2	1.14617390347175	0.0376811689154588	0.851138099128814	up
ENSECAP00000010916	ENSECAP00000025926	996	HSP90AA1	-0.649302244291574	0.0436987226718704	0.851138099128814	down	SUGT1	-1.48829266350605	0.00562003873209877	0.838740924454741	down
ENSECAP00000011207	ENSECAP00000040896	930	TXNRD2	0.572788027392782	0.02406808312943	0.851138099128814	up	TXN	0.434642360335278	0.0429255483238204	0.851138099128814	up
ENSECAP00000011207	ENSECAP00000042168	692	SOD3	0.590941724914512	0.0456803751990367	0.851138099128814	up	TXN	0.434642360335278	0.0429255483238204	0.851138099128814	up
ENSECAP00000012016	ENSECAP00000020466	727	DNM2	-0.635888732356923	0.0309444562226628	0.851138099128814	down	SNX18	-2.23891694066742	0.0106441804727063	0.838740924454741	down
ENSECAP00000012043	ENSECAP00000049007	620	KARS1	-0.984874748253677	0.0121787238882767	0.838740924454741	down	TARS2	-2.95909005737816	0.00741556575753718	0.838740924454741	down
ENSECAP00000013685	ENSECAP00000008458	833	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down	SAMM50	-0.905728423836621	0.0109930772713881	0.838740924454741	down
ENSECAP00000013900	ENSECAP00000020015	995	MRPS18B	-2.56659497509831	0.0207380185153242	0.851138099128814	down	MRPS34	-2.72866341692119	0.00622104930520146	0.838740924454741	down
ENSECAP00000015770	ENSECAP00000008698	999	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down	YJEFN3	-0.730253667705597	0.0442957605495626	0.851138099128814	down
ENSECAP00000015770	ENSECAP00000019918	998	NDUFA6	-0.885621759218301	0.0110894770217912	0.838740924454741	down	YJEFN3	-0.730253667705597	0.0442957605495626	0.851138099128814	down
ENSECAP00000015770	ENSECAP00000027368	668	ACADVL	-0.415857227894163	0.0449367869143995	0.851138099128814	down	YJEFN3	-0.730253667705597	0.0442957605495626	0.851138099128814	down
ENSECAP00000015770	ENSECAP00000035011	712	ATP5F1C	-0.625093710912665	0.0158785346958736	0.838740924454741	down	YJEFN3	-0.730253667705597	0.0442957605495626	0.851138099128814	down
ENSECAP00000017019	ENSECAP00000008788	901	INPP4B	1.41393365286409	0.0049927946154744	0.838740924454741	up	ISYNA1	-1.273608197073	0.0221283612433114	0.851138099128814	down
ENSECAP00000017019	ENSECAP00000022225	774	INPP1	-2.19727853761832	0.00417607477433547	0.838740924454741	down	ISYNA1	-1.273608197073	0.0221283612433114	0.851138099128814	down
ENSECAP00000017019	ENSECAP00000031118	749	BPNT1	-1.85731396207583	0.00142255113981795	0.823301472169641	down	ISYNA1	-1.273608197073	0.0221283612433114	0.851138099128814	down
ENSECAP00000018388	ENSECAP00000008458	854	TSFM	-2.07680396161491	0.00848325141866998	0.838740924454741	down	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down
ENSECAP00000018388	ENSECAP00000008698	678	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down
ENSECAP00000018388	ENSECAP00000009155	638	ADSS2	1.14617390347175	0.0376811689154588	0.851138099128814	up	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down
ENSECAP00000018388	ENSECAP00000035011	720	ATP5F1C	-0.625093710912665	0.0158785346958736	0.838740924454741	down	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down
ENSECAP00000018388	ENSECAP00000043581	621	EIF3I	-0.450944542270941	0.0270193856229879	0.851138099128814	down	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down
ENSECAP00000018388	ENSECAP00000049007	648	KARS1	-0.984874748253677	0.0121787238882767	0.838740924454741	down	RPL3	-1.64113906140668	0.0282792597665551	0.851138099128814	down
ENSECAP00000019222	ENSECAP00000022225	900	INPP1	-2.19727853761832	0.00417607477433547	0.838740924454741	down	PLCG1	1.52614754768944	0.0230463302849785	0.851138099128814	up
ENSECAP00000019918	ENSECAP00000008698	999	NDUFAB1	-2.38635442942683	0.0118174472654067	0.838740924454741	down	NDUFA6	-0.885621759218301	0.0110894770217912	0.838740924454741	down
ENSECAP00000019918	ENSECAP00000015770	998	YJEFN3	-0.730253667705597	0.0442957605495626	0.851138099128814	down	NDUFA6	-0.885621759218301	0.0110894770217912	0.838740924454741	down
ENSECAP00000019918	ENSECAP00000035011	702	ATP5F1C	-0.625093710912665	0.0158785346958736	0.838740924454741	down	NDUFA6	-0.885621759218301	0.0110894770217912	0.838740924454741	down
ENSECAP00000020015	ENSECAP00000013900	995	MRPS34	-2.72866341692119	0.00622104930520146	0.838740924454741	down	MRPS18B	-2.56659497509831	0.0207380185153242	0.851138099128814	down
ENSECAP00000020466	ENSECAP00000012016	727	SNX18	-2.23891694066742	0.0106441804727063	0.838740924454741	down	DNM2	-0.635888732356923	0.0309444562226628	0.851138099128814	down
ENSECAP00000020466	ENSECAP00000045577	994	CTTN	-1.99386877397695	0.0312537220128922	0.851138099128814	down	DNM2	-0.635888732356923	0.0309444562226628	0.851138099128814	down
ENSECAP00000022225	ENSECAP00000008788	912	INPP4B	1.41393365286409	0.0049927946154744	0.838740924454741	up	INPP1	-2.19727853761832	0.00417607477433547	0.838740924454741	down
ENSECAP00000022225	ENSECAP00000017019	774	ISYNA1	-1.273608197073	0.0221283612433114	0.851138099128814	down	INPP1	-2.19727853761832	0.00417607477433547	0.838740924454741	down
ENSECAP00000022225	ENSECAP00000019222	900	PLCG1	1.52614754768944	0.0230463302849785	0.851138099128814	up	INPP1	-2.19727853761832	0.00417607477433547	0.838740924454741	down
ENSECAP00000022611	ENSECAP00000025926	682	HSP90AA1	-0.649302244291574	0.0436987226718704	0.851138099128814	down	CDK4	-1.93185490334841	0.0241655396081895	0.851138099128814	down
ENSECAP00000022808	ENSECAP00000025926	614	HSP90AA1	-0.649302244291574	0.0436987226718704	0.851138099128814	down	DYNC1H1	-0.434807703411057	0.0321694338939133	0.851138099128814	down
ENSECAP00000022808	ENSECAP00000040978	909	DCTN4	1.47599627103217	0.0384044915631596	0.851138099128814	up	DYNC1H1	-0.434807703411057	0.0321694338939133	0.851138099128814	down
ENSECAP00000022844	ENSECAP00000034158	622	EIF4H	0.7846333633731	0.0377600133808375	0.851138099128814	up	EIF3E	-1.8511996974355	0.0164018579854845	0.838740924454741	down
ENSECAP00000022844	ENSECAP00000043581	999	EIF3I	-0.450944542270941	0.0270193856229879	0.851138099128814	down	EIF3E	-1.8511996974355	0.0164018579854845	0.838740924454741	down
ENSECAP00000025926	ENSECAP00000010916	996	SUGT1	-1.48829266350605	0.00562003873209877	0.838740924454741	down	HSP90AA1	-0.649302244291574	0.0436987226718704	0.851138099128814	down
ENSECAP00000025926	ENSECAP00000022611	682	CDK4	-1.93185490334841	0.0241655396081895	0.851138099128814	down	HSP90AA1	-0.649302244291574	0.0436987226718704	0.851138099128814	down
ENSECAP00000025926	ENSECAP00000022808	614	DYNC1H1	-0.434807703411057	0.0321694338939133	0.851138099128814	down	HSP90AA1	-0.649302244291574	0.0436987226718704	0.851138099128814	down
ENSECAP00000027368	ENSECAP00000015770	668	YJEFN3	-0.730253667705597	0.0442957605495626	0.851138099128814	down	ACADVL	-0.415857227894163	0.0449367869143995	0.851138099128814	down
ENSECAP00000027368	ENSECAP00000051799	601	FASN	-1.50554673730414	0.0102062886979295	0.838740924454741	down	ACADVL	-0.415857227894163	0.0449367869143995	0.851138099128814	down
ENSECAP00000028356	ENSECAP00000007179	861	GDI2	0.521890317935311	0.00775818514036171	0.838740924454741	up	RAB10	-0.986700056647109	0.0330481940246515	0.851138099128814	down
