protB	protA	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000004911	ENSECAP00000002606	924	PHKG2	1.54353387686688	0.0169884081722589	0.537286722461309	up	PHKG1	0.580291744078517	0.0244099910638938	0.562354348297918	up
ENSECAP00000007576	ENSECAP00000006637	734	ADA	0.647295032350147	0.00023539324067933	0.111670553378274	up	NT5E	-0.47193988647637	0.0168377419480791	0.537286722461309	down
ENSECAP00000009338	ENSECAP00000009000	937	CTPS1	1.14117307455408	0.00652567980867293	0.4111186998739	up	NUDT2	-0.373914106645621	0.0415308607472363	0.636808538432313	down
ENSECAP00000009810	ENSECAP00000006637	907	ADA	0.647295032350147	0.00023539324067933	0.111670553378274	up	NT5C3A	-1.09815048821893	0.0146187509301416	0.52538904858024	down
ENSECAP00000009823	ENSECAP00000008082	830	MRPL17	1.3601161055784	0.0142771237363101	0.521005192346579	up	SOD2	-0.512387468386773	0.0259643958833956	0.56722565568709	down
ENSECAP00000010237	ENSECAP00000008082	860	MRPL17	1.3601161055784	0.0142771237363101	0.521005192346579	up	MRPL18	1.66196077801549	0.00728715007692692	0.4111186998739	up
ENSECAP00000010457	ENSECAP00000010228	719	CRYAB	0.6231691751616	0.0061187905663823	0.4111186998739	up	HSPB2	0.790204094022446	0.0250452426589775	0.562354348297918	up
ENSECAP00000010981	ENSECAP00000007576	621	NT5E	-0.47193988647637	0.0168377419480791	0.537286722461309	down	PTGR2	0.498629067445576	0.022858413871284	0.562354348297918	up
ENSECAP00000011648	ENSECAP00000007132	615	ACTR2	0.569077314982765	0.0015209654649906	0.300644173579809	up	VCL	0.520041132415491	0.0233547802141825	0.562354348297918	up
ENSECAP00000013340	ENSECAP00000005858	936	ENO2	1.01604267049457	0.0303191389366723	0.61066102324706	up	TPI1	0.612130157120021	0.00372763043903217	0.394397905365796	up
ENSECAP00000013427	ENSECAP00000012977	746	MYPN	0.83958177044997	0.000307351129381209	0.120940196364573	up	KLHL41	0.780957898358258	0.00345531493909386	0.394397905365796	up
ENSECAP00000013867	ENSECAP00000013340	991	TPI1	0.612130157120021	0.00372763043903217	0.394397905365796	up	TKFC	-0.659561990237249	0.00870854558654635	0.421611633044325	down
ENSECAP00000014096	ENSECAP00000006637	602	ADA	0.647295032350147	0.00023539324067933	0.111670553378274	up	ENTPD1	1.48121829179679	0.0237568449668518	0.562354348297918	up
ENSECAP00000014096	ENSECAP00000007576	778	NT5E	-0.47193988647637	0.0168377419480791	0.537286722461309	down	ENTPD1	1.48121829179679	0.0237568449668518	0.562354348297918	up
ENSECAP00000014096	ENSECAP00000009000	922	CTPS1	1.14117307455408	0.00652567980867293	0.4111186998739	up	ENTPD1	1.48121829179679	0.0237568449668518	0.562354348297918	up
ENSECAP00000014096	ENSECAP00000009338	906	NUDT2	-0.373914106645621	0.0415308607472363	0.636808538432313	down	ENTPD1	1.48121829179679	0.0237568449668518	0.562354348297918	up
ENSECAP00000014096	ENSECAP00000009810	900	NT5C3A	-1.09815048821893	0.0146187509301416	0.52538904858024	down	ENTPD1	1.48121829179679	0.0237568449668518	0.562354348297918	up
ENSECAP00000017862	ENSECAP00000005858	677	ENO2	1.01604267049457	0.0303191389366723	0.61066102324706	up	RPS9	0.675473138623122	0.0121662196029739	0.488593145790498	up
ENSECAP00000017862	ENSECAP00000008082	991	MRPL17	1.3601161055784	0.0142771237363101	0.521005192346579	up	RPS9	0.675473138623122	0.0121662196029739	0.488593145790498	up
ENSECAP00000017862	ENSECAP00000009630	997	RPL13	0.47960540561872	0.048263200439749	0.636808538432313	up	RPS9	0.675473138623122	0.0121662196029739	0.488593145790498	up
ENSECAP00000017862	ENSECAP00000009823	658	SOD2	-0.512387468386773	0.0259643958833956	0.56722565568709	down	RPS9	0.675473138623122	0.0121662196029739	0.488593145790498	up
ENSECAP00000017959	ENSECAP00000010228	706	CRYAB	0.6231691751616	0.0061187905663823	0.4111186998739	up	HSPB1	0.93960792801958	0.000509865920592637	0.120940196364573	up
ENSECAP00000018758	ENSECAP00000009338	902	NUDT2	-0.373914106645621	0.0415308607472363	0.636808538432313	down	GUCY1B1	-2.07134937599053	0.00454838513327048	0.394397905365796	down
ENSECAP00000018758	ENSECAP00000014096	904	ENTPD1	1.48121829179679	0.0237568449668518	0.562354348297918	up	GUCY1B1	-2.07134937599053	0.00454838513327048	0.394397905365796	down
ENSECAP00000020709	ENSECAP00000013401	894	GAA	-0.517557996197429	0.0410774948047026	0.636808538432313	down	GYG1	0.751555214945515	0.00465685167488966	0.394397905365796	up
ENSECAP00000020960	ENSECAP00000001546	991	TST	-0.659758341829198	0.00721724640253255	0.4111186998739	down	SUOX	-0.600358987894609	0.00378447113463389	0.394397905365796	down
ENSECAP00000022085	ENSECAP00000008082	697	MRPL17	1.3601161055784	0.0142771237363101	0.521005192346579	up	PEBP1	-0.447269083694845	0.0471199818967477	0.636808538432313	down
ENSECAP00000022085	ENSECAP00000010237	626	MRPL18	1.66196077801549	0.00728715007692692	0.4111186998739	up	PEBP1	-0.447269083694845	0.0471199818967477	0.636808538432313	down
ENSECAP00000022085	ENSECAP00000017862	641	RPS9	0.675473138623122	0.0121662196029739	0.488593145790498	up	PEBP1	-0.447269083694845	0.0471199818967477	0.636808538432313	down
ENSECAP00000022869	ENSECAP00000008082	725	MRPL17	1.3601161055784	0.0142771237363101	0.521005192346579	up	GCSH	0.692466013997409	0.00498816912351344	0.394397905365796	up
ENSECAP00000023062	ENSECAP00000007753	711	CHMP5	0.951889461638679	0.0265805765012263	0.568010157305486	up	VPS25	-0.860422410207363	0.024164203978276	0.562354348297918	down
ENSECAP00000023276	ENSECAP00000002094	900	PRPS2	0.456903697443867	0.0491492741753422	0.636808538432313	up	PRPS2	0.456903697443867	0.0491492741753422	0.636808538432313	up
ENSECAP00000025399	ENSECAP00000017260	661	COL6A2	0.681859494059429	0.0343953301525381	0.617120541978437	up	FBLN1	-0.414986837977779	0.049888475039262	0.636808538432313	down
ENSECAP00000026437	ENSECAP00000014724	910	ACSS2	-1.36646381495509	0.0377555511113688	0.621917828028937	down	ACSS1	0.671916893936807	0.00947588030953604	0.432245924888837	up
