protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000000426	ENSECAP00000012407	688	PMPCB	-1.46222052749102	0.00598384211210259	0.279076041156857	down	COX7A2L	1.42109200154269	0.031447751182565	0.370104733502275	up
ENSECAP00000000426	ENSECAP00000018120	629	NDUFB3	-1.21756422281026	0.0437055900272091	0.403652342179867	down	COX7A2L	1.42109200154269	0.031447751182565	0.370104733502275	up
ENSECAP00000001347	ENSECAP00000046422	812	DERA	1.14016355215514	0.0169861137385458	0.329266727864389	up	ADHFE1	-0.853007835987899	0.0446114619416429	0.409096597805278	down
ENSECAP00000001546	ENSECAP00000020960	991	SUOX	-0.925732727976285	0.00782527152444174	0.279675806968018	down	TST	-0.748673257931388	0.00875946060300943	0.298052172623452	down
ENSECAP00000001546	ENSECAP00000037158	916	MPST	1.07592809439669	0.0210532913782737	0.336072910519851	up	TST	-0.748673257931388	0.00875946060300943	0.298052172623452	down
ENSECAP00000001546	ENSECAP00000042060	910	LDHA	0.808749430379947	0.0224146699775169	0.341920079048907	up	TST	-0.748673257931388	0.00875946060300943	0.298052172623452	down
ENSECAP00000002532	ENSECAP00000005144	997	PSMB4	0.961590084470267	0.00993173348616283	0.313212960917282	up	PSMC1	0.8165624232398	0.0133007832071169	0.326380491117223	up
ENSECAP00000002532	ENSECAP00000012452	999	PSMD11	-0.861372987453958	0.0349680194906865	0.370104733502275	down	PSMC1	0.8165624232398	0.0133007832071169	0.326380491117223	up
ENSECAP00000002532	ENSECAP00000013937	980	PSMB6	2.11391707289926	0.0371361068697658	0.373793792982119	up	PSMC1	0.8165624232398	0.0133007832071169	0.326380491117223	up
ENSECAP00000002532	ENSECAP00000020680	994	USP14	0.740466511593745	0.0181878562522154	0.329266727864389	up	PSMC1	0.8165624232398	0.0133007832071169	0.326380491117223	up
