protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000002793	ENSECAP00000006539	927	ME3	-0.467121306715725	0.0420898713822591	0.813206381744863	down	PDHA1	-0.407678861579921	0.0149956702804695	0.813206381744863	down
ENSECAP00000006539	ENSECAP00000002793	927	PDHA1	-0.407678861579921	0.0149956702804695	0.813206381744863	down	ME3	-0.467121306715725	0.0420898713822591	0.813206381744863	down
ENSECAP00000006729	ENSECAP00000007179	816	GDI2	0.508177728675387	0.00680032634550237	0.813206381744863	up	RAB1B	-1.23310726422342	0.0304207076849592	0.813206381744863	down
ENSECAP00000006791	ENSECAP00000009822	646	MANF	0.370821606151956	0.0449152611635496	0.813206381744863	up	PDIA4	0.524472202739112	0.0150045928240868	0.813206381744863	up
ENSECAP00000007179	ENSECAP00000006729	816	RAB1B	-1.23310726422342	0.0304207076849592	0.813206381744863	down	GDI2	0.508177728675387	0.00680032634550237	0.813206381744863	up
ENSECAP00000007179	ENSECAP00000007582	622	YWHAE	-0.433213050392236	0.0104374689963742	0.813206381744863	down	GDI2	0.508177728675387	0.00680032634550237	0.813206381744863	up
ENSECAP00000007582	ENSECAP00000007179	622	GDI2	0.508177728675387	0.00680032634550237	0.813206381744863	up	YWHAE	-0.433213050392236	0.0104374689963742	0.813206381744863	down
ENSECAP00000007841	ENSECAP00000031627	781	CD44	1.00409163053423	0.017770791113318	0.813206381744863	up	THY1	1.41334792448025	0.0367025689710981	0.813206381744863	up
ENSECAP00000009822	ENSECAP00000006791	646	PDIA4	0.524472202739112	0.0150045928240868	0.813206381744863	up	MANF	0.370821606151956	0.0449152611635496	0.813206381744863	up
ENSECAP00000010916	ENSECAP00000025926	996	HSP90AA1	-0.663000046523825	0.0427346171318362	0.813206381744863	down	SUGT1	-1.3542927994313	0.00395242292893374	0.813206381744863	down
ENSECAP00000011207	ENSECAP00000040896	930	TXNRD2	0.559099753955538	0.0258663592626037	0.813206381744863	up	TXN	0.420955190272135	0.0478087838820399	0.813206381744863	up
ENSECAP00000011207	ENSECAP00000042168	692	SOD3	0.577308387319359	0.0455197046871253	0.813206381744863	up	TXN	0.420955190272135	0.0478087838820399	0.813206381744863	up
ENSECAP00000012452	ENSECAP00000024764	998	PSMC5	-0.499200694938102	0.0464422584874933	0.813206381744863	down	PSMD11	-0.622168014050269	0.0487735894335016	0.813206381744863	down
ENSECAP00000012452	ENSECAP00000034445	998	PSMC4	-0.522286376686365	0.0179847711812308	0.813206381744863	down	PSMD11	-0.622168014050269	0.0487735894335016	0.813206381744863	down
ENSECAP00000015770	ENSECAP00000019918	998	NDUFA6	-0.899327096553449	0.0112499692997712	0.813206381744863	down	YJEFN3	-0.743991759440174	0.0410694287316012	0.813206381744863	down
ENSECAP00000015770	ENSECAP00000027368	668	ACADVL	-0.429564898918049	0.0480635748932972	0.813206381744863	down	YJEFN3	-0.743991759440174	0.0410694287316012	0.813206381744863	down
ENSECAP00000015770	ENSECAP00000035011	712	ATP5F1C	-0.638799428983788	0.0152253214789582	0.813206381744863	down	YJEFN3	-0.743991759440174	0.0410694287316012	0.813206381744863	down
ENSECAP00000019918	ENSECAP00000015770	998	YJEFN3	-0.743991759440174	0.0410694287316012	0.813206381744863	down	NDUFA6	-0.899327096553449	0.0112499692997712	0.813206381744863	down
ENSECAP00000019918	ENSECAP00000035011	702	ATP5F1C	-0.638799428983788	0.0152253214789582	0.813206381744863	down	NDUFA6	-0.899327096553449	0.0112499692997712	0.813206381744863	down
ENSECAP00000022808	ENSECAP00000025926	614	HSP90AA1	-0.663000046523825	0.0427346171318362	0.813206381744863	down	DYNC1H1	-0.448526767569044	0.0339275943402391	0.813206381744863	down
