SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
AF_vs_Sham_RA_RNA_adj_user	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Translation	-0.002	0.997
AF_vs_Sham_RA_RNA_adj_user	BPHL	biphenyl hydrolase like	Translation	0.09	0.781
AF_vs_Sham_RA_RNA_adj_user	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	Translation	-0.218	0.440
AF_vs_Sham_RA_RNA_adj_user	DAP3	death associated protein 3	Translation	-0.161	0.288
AF_vs_Sham_RA_RNA_adj_user	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	Translation	0.28	0.486
AF_vs_Sham_RA_RNA_adj_user	DDX28	DEAD-box helicase 28	Translation	0.177	0.348
AF_vs_Sham_RA_RNA_adj_user	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	Translation	0.153	0.797
AF_vs_Sham_RA_RNA_adj_user	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	Translation	-0.389	0.262
AF_vs_Sham_RA_RNA_adj_user	ELAC2	elaC ribonuclease Z 2	Translation	0.302	0.147
AF_vs_Sham_RA_RNA_adj_user	ERAL1	Era like 12S mitochondrial rRNA chaperone 1	Translation	0.082	0.673
AF_vs_Sham_RA_RNA_adj_user	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	Translation	0.099	0.535
AF_vs_Sham_RA_RNA_adj_user	FASTK	Fas activated serine/threonine kinase	Translation	0.164	0.276
AF_vs_Sham_RA_RNA_adj_user	FASTKD1	FAST kinase domains 1	Translation	0.024	0.953
AF_vs_Sham_RA_RNA_adj_user	FASTKD2	FAST kinase domains 2	Translation	0.01	0.963
AF_vs_Sham_RA_RNA_adj_user	FASTKD3	FAST kinase domains 3	Translation	0.309	0.186
AF_vs_Sham_RA_RNA_adj_user	FASTKD5	FAST kinase domains 5	Translation	-0.11	0.642
AF_vs_Sham_RA_RNA_adj_user	GADD45GIP1	GADD45G interacting protein 1	Translation	0.376	0.027
AF_vs_Sham_RA_RNA_adj_user	GARS1	glycyl-tRNA synthetase	Translation	-0.361	0.047
AF_vs_Sham_RA_RNA_adj_user	GATB	glutamyl-tRNA amidotransferase subunit B	Translation	0.026	0.891
AF_vs_Sham_RA_RNA_adj_user	GATC	glutamyl-tRNA amidotransferase subunit C	Translation	-0.032	0.877
AF_vs_Sham_RA_RNA_adj_user	GFM2	G elongation factor mitochondrial 2	Translation	-0.306	0.270
AF_vs_Sham_RA_RNA_adj_user	GTPBP10	GTP binding protein 10	Translation	0.118	0.600
AF_vs_Sham_RA_RNA_adj_user	GTPBP3	GTP binding protein 3, mitochondrial	Translation	0.368	0.044
AF_vs_Sham_RA_RNA_adj_user	GUF1	GUF1 homolog, GTPase	Translation	-0.229	0.387
AF_vs_Sham_RA_RNA_adj_user	HARS2	histidyl-tRNA synthetase 2, mitochondrial	Translation	-0.033	0.859
AF_vs_Sham_RA_RNA_adj_user	HEMK1	HemK methyltransferase family member 1	Translation	0.433	0.098
AF_vs_Sham_RA_RNA_adj_user	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	Translation	-0.033	0.820
AF_vs_Sham_RA_RNA_adj_user	LACTB2	lactamase beta 2	Translation	-0.001	0.994
