SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
Met_vs_Placebo_RA_user	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Translation	-0.76	0.003
Met_vs_Placebo_RA_user	BPHL	biphenyl hydrolase like	Translation	-0.32	0.066
Met_vs_Placebo_RA_user	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	Translation	0.221	0.219
Met_vs_Placebo_RA_user	DAP3	death associated protein 3	Translation	-0.015	0.900
Met_vs_Placebo_RA_user	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	Translation	0.043	0.881
Met_vs_Placebo_RA_user	DDX28	DEAD-box helicase 28	Translation	-0.288	0.014
Met_vs_Placebo_RA_user	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	Translation	0.556	0.055
Met_vs_Placebo_RA_user	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	Translation	0.283	0.232
Met_vs_Placebo_RA_user	ELAC2	elaC ribonuclease Z 2	Translation	-0.058	0.704
Met_vs_Placebo_RA_user	ERAL1	Era like 12S mitochondrial rRNA chaperone 1	Translation	-0.241	0.026
Met_vs_Placebo_RA_user	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	Translation	-0.056	0.591
Met_vs_Placebo_RA_user	FASTK	Fas activated serine/threonine kinase	Translation	-0.332	0.001
Met_vs_Placebo_RA_user	FASTKD1	FAST kinase domains 1	Translation	0.596	0.001
Met_vs_Placebo_RA_user	FASTKD2	FAST kinase domains 2	Translation	0.141	0.171
Met_vs_Placebo_RA_user	FASTKD3	FAST kinase domains 3	Translation	0.248	0.076
Met_vs_Placebo_RA_user	FASTKD5	FAST kinase domains 5	Translation	0.121	0.399
Met_vs_Placebo_RA_user	GADD45GIP1	GADD45G interacting protein 1	Translation	-0.49	0.000
Met_vs_Placebo_RA_user	GARS1	glycyl-tRNA synthetase	Translation	-0.037	0.808
Met_vs_Placebo_RA_user	GATB	glutamyl-tRNA amidotransferase subunit B	Translation	0.025	0.838
Met_vs_Placebo_RA_user	GATC	glutamyl-tRNA amidotransferase subunit C	Translation	-0.168	0.127
Met_vs_Placebo_RA_user	GFM2	G elongation factor mitochondrial 2	Translation	0.429	0.015
Met_vs_Placebo_RA_user	GTPBP10	GTP binding protein 10	Translation	0.082	0.555
Met_vs_Placebo_RA_user	GTPBP3	GTP binding protein 3, mitochondrial	Translation	-0.281	0.017
Met_vs_Placebo_RA_user	GUF1	GUF1 homolog, GTPase	Translation	0.123	0.502
Met_vs_Placebo_RA_user	HARS2	histidyl-tRNA synthetase 2, mitochondrial	Translation	0.01	0.937
Met_vs_Placebo_RA_user	HEMK1	HemK methyltransferase family member 1	Translation	-0.187	0.269
Met_vs_Placebo_RA_user	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	Translation	0.147	0.049
Met_vs_Placebo_RA_user	LACTB2	lactamase beta 2	Translation	0.04	0.732
Met_vs_Placebo_RA_user	LARS2	leucyl-tRNA synthetase 2, mitochondrial	Translation	0.103	0.588
Met_vs_Placebo_RA_user	LRPPRC	leucine rich pentatricopeptide repeat containing	Translation	0.497	0.000
Met_vs_Placebo_RA_user	MALSU1	mitochondrial assembly of ribosomal large subunit 1	Translation	-0.197	0.085
Met_vs_Placebo_RA_user	MARS2	methionyl-tRNA synthetase 2, mitochondrial	Translation	0.365	0.012
Met_vs_Placebo_RA_user	METTL17	methyltransferase like 17	Translation	-0.145	0.437
Met_vs_Placebo_RA_user	MPV17L2	MPV17 mitochondrial inner membrane protein like 2	Translation	-0.295	0.035
Met_vs_Placebo_RA_user	MRM1	mitochondrial rRNA methyltransferase 1	Translation	-0.318	0.010
Met_vs_Placebo_RA_user	MRM2	mitochondrial rRNA methyltransferase 2	Translation	-0.258	0.006
Met_vs_Placebo_RA_user	MRM3	mitochondrial rRNA methyltransferase 3	Translation	0.057	0.620
Met_vs_Placebo_RA_user	MRPL11	mitochondrial ribosomal protein L11	Translation	-0.387	0.000
Met_vs_Placebo_RA_user	MRPL12	mitochondrial ribosomal protein L12	Translation	-0.516	0.000
Met_vs_Placebo_RA_user	MRPL13	mitochondrial ribosomal protein L13	Translation	-0.528	0.000
Met_vs_Placebo_RA_user	MRPL14	mitochondrial ribosomal protein L14	Translation	-0.564	0.000
Met_vs_Placebo_RA_user	MRPL15	mitochondrial ribosomal protein L15	Translation	0.354	0.002
Met_vs_Placebo_RA_user	MRPL16	mitochondrial ribosomal protein L16	Translation	-0.493	0.000
Met_vs_Placebo_RA_user	MRPL17	mitochondrial ribosomal protein L17	Translation	-0.377	0.000
Met_vs_Placebo_RA_user	MRPL18	mitochondrial ribosomal protein L18	Translation	-0.304	0.004
Met_vs_Placebo_RA_user	MRPL19	mitochondrial ribosomal protein L19	Translation	-0.108	0.224
Met_vs_Placebo_RA_user	MRPL2	mitochondrial ribosomal protein L2	Translation	-0.483	0.000
Met_vs_Placebo_RA_user	MRPL21	mitochondrial ribosomal protein L21	Translation	-0.249	0.085
Met_vs_Placebo_RA_user	MRPL22	mitochondrial ribosomal protein L22	Translation	-0.101	0.501
Met_vs_Placebo_RA_user	MRPL24	mitochondrial ribosomal protein L24	Translation	-0.451	0.000
Met_vs_Placebo_RA_user	MRPL27	mitochondrial ribosomal protein L27	Translation	-0.672	0.000
Met_vs_Placebo_RA_user	MRPL28	mitochondrial ribosomal protein L28	Translation	-0.481	0.000
Met_vs_Placebo_RA_user	MRPL3	mitochondrial ribosomal protein L3	Translation	0.08	0.332
Met_vs_Placebo_RA_user	MRPL30	mitochondrial ribosomal protein L30	Translation	-0.258	0.005
Met_vs_Placebo_RA_user	MRPL34	mitochondrial ribosomal protein L34	Translation	-0.609	0.000
Met_vs_Placebo_RA_user	MRPL35	mitochondrial ribosomal protein L35	Translation	-0.405	0.000
Met_vs_Placebo_RA_user	MRPL36	mitochondrial ribosomal protein L36	Translation	-0.513	0.000
Met_vs_Placebo_RA_user	MRPL37	mitochondrial ribosomal protein L37	Translation	-0.27	0.003
Met_vs_Placebo_RA_user	MRPL39	mitochondrial ribosomal protein L39	Translation	0.024	0.904
Met_vs_Placebo_RA_user	MRPL4	mitochondrial ribosomal protein L4	Translation	-0.348	0.002
Met_vs_Placebo_RA_user	MRPL40	mitochondrial ribosomal protein L40	Translation	-0.546	0.000
Met_vs_Placebo_RA_user	MRPL41	mitochondrial ribosomal protein L41	Translation	-0.49	0.000
Met_vs_Placebo_RA_user	MRPL42	mitochondrial ribosomal protein L42	Translation	-0.323	0.217
Met_vs_Placebo_RA_user	MRPL43	mitochondrial ribosomal protein L43	Translation	-0.412	0.000
Met_vs_Placebo_RA_user	MRPL45	mitochondrial ribosomal protein L45	Translation	-0.078	0.238
Met_vs_Placebo_RA_user	MRPL46	mitochondrial ribosomal protein L46	Translation	-0.141	0.130
Met_vs_Placebo_RA_user	MRPL47	mitochondrial ribosomal protein L47	Translation	-0.337	0.039
Met_vs_Placebo_RA_user	MRPL48	mitochondrial ribosomal protein L48	Translation	-0.107	0.428
Met_vs_Placebo_RA_user	MRPL49	mitochondrial ribosomal protein L49	Translation	-0.117	0.244
Met_vs_Placebo_RA_user	MRPL50	mitochondrial ribosomal protein L50	Translation	0.022	0.839
Met_vs_Placebo_RA_user	MRPL51	mitochondrial ribosomal protein L51	Translation	-0.289	0.005
Met_vs_Placebo_RA_user	MRPL52	mitochondrial ribosomal protein L52	Translation	-0.302	0.005
Met_vs_Placebo_RA_user	MRPL53	mitochondrial ribosomal protein L53	Translation	0.103	0.437
Met_vs_Placebo_RA_user	MRPL57	mitochondrial ribosomal protein L57	Translation	-0.377	0.008
Met_vs_Placebo_RA_user	MRPL58	mitochondrial ribosomal protein L58	Translation	-0.331	0.001
Met_vs_Placebo_RA_user	MRPL9	mitochondrial ribosomal protein L9	Translation	-0.243	0.011
Met_vs_Placebo_RA_user	MRPS10	mitochondrial ribosomal protein S10	Translation	-0.277	0.031
Met_vs_Placebo_RA_user	MRPS11	mitochondrial ribosomal protein S11	Translation	-0.526	0.000
Met_vs_Placebo_RA_user	MRPS12	mitochondrial ribosomal protein S12	Translation	-0.418	0.000
Met_vs_Placebo_RA_user	MRPS14	mitochondrial ribosomal protein S14	Translation	-0.366	0.000
Met_vs_Placebo_RA_user	MRPS15	mitochondrial ribosomal protein S15	Translation	-0.489	0.000
Met_vs_Placebo_RA_user	MRPS16	mitochondrial ribosomal protein S16	Translation	0.127	0.210
Met_vs_Placebo_RA_user	MRPS18A	mitochondrial ribosomal protein S18A	Translation	-0.081	0.493
Met_vs_Placebo_RA_user	MRPS18B	mitochondrial ribosomal protein S18B	Translation	-0.344	0.000
Met_vs_Placebo_RA_user	MRPS18C	mitochondrial ribosomal protein S18C	Translation	-0.061	0.775
Met_vs_Placebo_RA_user	MRPS2	mitochondrial ribosomal protein S2	Translation	-0.507	0.000
Met_vs_Placebo_RA_user	MRPS22	mitochondrial ribosomal protein S22	Translation	-0.16	0.188
Met_vs_Placebo_RA_user	MRPS23	mitochondrial ribosomal protein S23	Translation	-0.353	0.001
Met_vs_Placebo_RA_user	MRPS24	mitochondrial ribosomal protein S24	Translation	-0.385	0.000
Met_vs_Placebo_RA_user	MRPS25	mitochondrial ribosomal protein S25	Translation	-0.489	0.001
Met_vs_Placebo_RA_user	MRPS26	mitochondrial ribosomal protein S26	Translation	-0.513	0.000
Met_vs_Placebo_RA_user	MRPS27	mitochondrial ribosomal protein S27	Translation	-0.551	0.000
Met_vs_Placebo_RA_user	MRPS28	mitochondrial ribosomal protein S28	Translation	-0.2	0.213
Met_vs_Placebo_RA_user	MRPS30	mitochondrial ribosomal protein S30	Translation	-0.163	0.119
Met_vs_Placebo_RA_user	MRPS31	mitochondrial ribosomal protein S31	Translation	-0.122	0.304
Met_vs_Placebo_RA_user	MRPS33	mitochondrial ribosomal protein S33	Translation	0.06	0.320
Met_vs_Placebo_RA_user	MRPS34	mitochondrial ribosomal protein S34	Translation	-0.609	0.000
Met_vs_Placebo_RA_user	MRPS35	mitochondrial ribosomal protein S35	Translation	-0.003	0.977
Met_vs_Placebo_RA_user	MRPS36	mitochondrial ribosomal protein S36	Translation	-0.179	0.054
Met_vs_Placebo_RA_user	MRPS5	mitochondrial ribosomal protein S5	Translation	-0.207	0.047
Met_vs_Placebo_RA_user	MRPS6	mitochondrial ribosomal protein S6	Translation	-0.559	0.000
Met_vs_Placebo_RA_user	MRPS7	mitochondrial ribosomal protein S7	Translation	-0.272	0.009
Met_vs_Placebo_RA_user	MRPS9	mitochondrial ribosomal protein S9	Translation	-0.073	0.411
Met_vs_Placebo_RA_user	MRRF	mitochondrial ribosome recycling factor	Translation	0.105	0.511
Met_vs_Placebo_RA_user	MTERF3	mitochondrial transcription termination factor 3	Translation	0.179	0.406
Met_vs_Placebo_RA_user	MTERF4	mitochondrial transcription termination factor 4	Translation	-0.068	0.636
Met_vs_Placebo_RA_user	MTFMT	mitochondrial methionyl-tRNA formyltransferase	Translation	-0.132	0.675
Met_vs_Placebo_RA_user	MTG1	mitochondrial ribosome associated GTPase 1	Translation	-0.29	0.008
Met_vs_Placebo_RA_user	MTG2	mitochondrial ribosome associated GTPase 2	Translation	-0.086	0.536
Met_vs_Placebo_RA_user	MTIF2	mitochondrial translational initiation factor 2	Translation	-0.081	0.489
Met_vs_Placebo_RA_user	MTIF3	mitochondrial translational initiation factor 3	Translation	-0.145	0.156
Met_vs_Placebo_RA_user	MTO1	mitochondrial tRNA translation optimization 1	Translation	0.24	0.006
Met_vs_Placebo_RA_user	MTPAP	mitochondrial poly(A) polymerase	Translation	-0.056	0.704
